cohort,R1,overall_actions,target_identifiable_actions,target_rate,restart_rate,under_pressure_rate
PL1516,0.0,22841,4747,0.6099974299665896,0.3139295810845541,0.0745309689025957
PL1516,1.0,22841,14422,0.9576997144564712,0.2549970117537685,0.0363237930805498
T2024,0.0,5367,833,0.6696141479099679,0.2572347266881029,0.2081993569131832
T2024,1.0,5367,4088,0.9915110356536504,0.1903953431967014,0.1055056997332039
WC2018,0.0,2957,786,0.774384236453202,0.3123152709359605,0.1359605911330049
WC2018,1.0,2957,1930,0.9938208032955717,0.1889804325437693,0.05870236869207
WC2022,0.0,4154,510,0.5672969966629589,0.2703003337041156,0.132369299221357
WC2022,1.0,4154,3191,0.9803379416282642,0.2218125960061444,0.0651305683563748
WSL2021,0.0,10655,1472,0.6344827586206897,0.2568965517241379,0.125
WSL2021,1.0,10655,8175,0.9808038392321536,0.2008398320335933,0.0523095380923815
