cohort,keeper,team,pressure_state,target_zone,goal_kick_identifiable_n,retention,xR,value
PL1516,Adam Federici,AFC Bournemouth,FREE,LONG_CENTRAL,5,0.6,0.6549181914426627,-0.002396032145280229
PL1516,Adam Federici,AFC Bournemouth,FREE,LONG_LEFT,5,0.8,0.6090985346930737,-0.004355819272416439
PL1516,Adam Federici,AFC Bournemouth,FREE,LONG_RIGHT,9,0.7777777777777778,0.644479621650442,-0.003039736345787156
PL1516,Adam Federici,AFC Bournemouth,FREE,MEDIUM_LEFT,1,1.0,0.5770392749244712,-0.00387296300674645
PL1516,Adam Federici,AFC Bournemouth,FREE,SHORT_CENTRAL,2,1.0,0.6094961293248033,-0.004982557987369926
PL1516,Adam Federici,AFC Bournemouth,FREE,SHORT_LEFT,1,1.0,0.6419529837251357,-0.004369580619818196
PL1516,Adam Federici,AFC Bournemouth,FREE,VERY_LONG_CENTRAL,1,1.0,0.6530612244897959,-0.0021061328355420775
PL1516,Adam Federici,AFC Bournemouth,FREE,VERY_LONG_LEFT,1,0.0,0.5813953488372093,-0.003749049036081158
PL1516,Adrián San Miguel del Castillo,West Ham United,FREE,LONG_CENTRAL,38,0.6052631578947368,0.5990142665178586,-0.004044819850228864
PL1516,Adrián San Miguel del Castillo,West Ham United,FREE,LONG_LEFT,26,0.8461538461538461,0.6079473221418293,-0.0045217007295945974
PL1516,Adrián San Miguel del Castillo,West Ham United,FREE,LONG_RIGHT,67,0.7313432835820896,0.5891358345995557,-0.003576646475822383
PL1516,Adrián San Miguel del Castillo,West Ham United,FREE,MEDIUM_CENTRAL,2,1.0,0.646736496311056,-0.0018041151753133123
PL1516,Adrián San Miguel del Castillo,West Ham United,FREE,MEDIUM_LEFT,11,1.0,0.5735942761030346,-0.005082784240745137
PL1516,Adrián San Miguel del Castillo,West Ham United,FREE,MEDIUM_RIGHT,8,1.0,0.6271991368918496,-0.0032338006092294392
PL1516,Adrián San Miguel del Castillo,West Ham United,FREE,SHORT_CENTRAL,10,1.0,0.6130847005470864,-0.003481301407746682
PL1516,Adrián San Miguel del Castillo,West Ham United,FREE,SHORT_LEFT,10,1.0,0.599432372506991,-0.004972696742120907
PL1516,Adrián San Miguel del Castillo,West Ham United,FREE,SHORT_RIGHT,17,1.0,0.6184614910191947,-0.0034680552250968668
PL1516,Adrián San Miguel del Castillo,West Ham United,FREE,VERY_LONG_CENTRAL,17,0.5294117647058824,0.6013233545052662,-0.0037713852284410932
PL1516,Adrián San Miguel del Castillo,West Ham United,FREE,VERY_LONG_LEFT,5,0.8,0.5905918566033406,-0.004621336722123494
PL1516,Adrián San Miguel del Castillo,West Ham United,FREE,VERY_LONG_RIGHT,26,0.7307692307692307,0.5784930465519881,-0.004149647081946098
PL1516,Alex McCarthy,Crystal Palace,FREE,LONG_CENTRAL,5,0.8,0.5787144160145937,-0.003697400792911254
PL1516,Alex McCarthy,Crystal Palace,FREE,LONG_LEFT,4,0.5,0.5838690549655761,-0.005536878600205308
PL1516,Alex McCarthy,Crystal Palace,FREE,LONG_RIGHT,8,0.625,0.5911802389941622,-0.0034368274714142895
PL1516,Alex McCarthy,Crystal Palace,FREE,MEDIUM_LEFT,3,1.0,0.5949355149529013,-0.003809965191602729
PL1516,Alex McCarthy,Crystal Palace,FREE,MEDIUM_RIGHT,1,1.0,0.6303501945525292,-0.0020016526203922224
PL1516,Alex McCarthy,Crystal Palace,FREE,SHORT_CENTRAL,1,1.0,0.5861456483126111,-0.005517326348633192
PL1516,Alex McCarthy,Crystal Palace,FREE,SHORT_LEFT,2,1.0,0.5995244370595314,-0.003997293886496237
PL1516,Alex McCarthy,Crystal Palace,FREE,VERY_LONG_CENTRAL,2,0.5,0.596644252727734,-0.005067855551709959
PL1516,Alex McCarthy,Crystal Palace,FREE,VERY_LONG_LEFT,5,0.8,0.5781571451127293,-0.00432690575228762
PL1516,Alex McCarthy,Crystal Palace,FREE,VERY_LONG_RIGHT,14,0.8571428571428571,0.5781407157147035,-0.004149006485841696
PL1516,Artur Boruc,AFC Bournemouth,FREE,LONG_CENTRAL,23,0.5652173913043478,0.5921476834488645,-0.004756188246092033
PL1516,Artur Boruc,AFC Bournemouth,FREE,LONG_LEFT,25,0.68,0.5974113154227825,-0.004637164742975794
PL1516,Artur Boruc,AFC Bournemouth,FREE,LONG_RIGHT,48,0.7083333333333334,0.6166240800197565,-0.0034202174261590734
PL1516,Artur Boruc,AFC Bournemouth,FREE,MEDIUM_CENTRAL,7,0.7142857142857143,0.6581596587795518,-0.0029787337869933645
PL1516,Artur Boruc,AFC Bournemouth,FREE,MEDIUM_LEFT,19,1.0,0.6224562315194938,-0.003763476244189275
PL1516,Artur Boruc,AFC Bournemouth,FREE,MEDIUM_RIGHT,12,1.0,0.6317478117747505,-0.0032320586702707806
PL1516,Artur Boruc,AFC Bournemouth,FREE,SHORT_CENTRAL,21,1.0,0.6153595783316215,-0.003799361628344018
PL1516,Artur Boruc,AFC Bournemouth,FREE,SHORT_LEFT,20,1.0,0.632735910664213,-0.0038214039224006013
PL1516,Artur Boruc,AFC Bournemouth,FREE,SHORT_RIGHT,12,1.0,0.656188550289228,-0.0023658234083274734
PL1516,Artur Boruc,AFC Bournemouth,FREE,VERY_LONG_CENTRAL,9,0.6666666666666666,0.5881108893717981,-0.003933685133783341
PL1516,Artur Boruc,AFC Bournemouth,FREE,VERY_LONG_LEFT,12,0.3333333333333333,0.5840920557330721,-0.004593486625177191
PL1516,Artur Boruc,AFC Bournemouth,FREE,VERY_LONG_RIGHT,4,0.5,0.5786642270106002,-0.004975278492907209
PL1516,Asmir Begović,Chelsea,FREE,LONG_CENTRAL,3,0.6666666666666666,0.5732273661261084,-0.005842944997495305
PL1516,Asmir Begović,Chelsea,FREE,LONG_LEFT,5,0.8,0.6293593721748492,-0.004256374439044321
PL1516,Asmir Begović,Chelsea,FREE,LONG_RIGHT,13,0.46153846153846156,0.5711607686322578,-0.004299564781972606
PL1516,Asmir Begović,Chelsea,FREE,MEDIUM_CENTRAL,3,1.0,0.6217357910906297,-0.002316475533377687
PL1516,Asmir Begović,Chelsea,FREE,MEDIUM_LEFT,4,1.0,0.6156951924699946,-0.003815884751971187
PL1516,Asmir Begović,Chelsea,FREE,MEDIUM_RIGHT,7,1.0,0.5896200881932047,-0.004300332296163818
PL1516,Asmir Begović,Chelsea,FREE,SHORT_CENTRAL,2,1.0,0.596389228886169,-0.0034392378971520856
PL1516,Asmir Begović,Chelsea,FREE,SHORT_LEFT,4,1.0,0.6079184373105668,-0.0031214054499292014
PL1516,Asmir Begović,Chelsea,FREE,SHORT_RIGHT,7,1.0,0.6170021868480562,-0.002611799173031328
PL1516,Asmir Begović,Chelsea,FREE,VERY_LONG_CENTRAL,3,0.6666666666666666,0.6182996020866663,-0.002885243080366874
PL1516,Asmir Begović,Chelsea,FREE,VERY_LONG_LEFT,3,0.0,0.619371737730788,-0.003577284676623491
PL1516,Asmir Begović,Chelsea,FREE,VERY_LONG_RIGHT,28,0.42857142857142855,0.5965799045721203,-0.0038014515241106077
PL1516,Ben Foster,West Bromwich Albion,FREE,LONG_CENTRAL,12,0.5,0.6426872951196484,-0.003563935646935358
PL1516,Ben Foster,West Bromwich Albion,FREE,LONG_LEFT,9,0.7777777777777778,0.6340657529762654,-0.00430270853386506
PL1516,Ben Foster,West Bromwich Albion,FREE,LONG_RIGHT,35,0.7142857142857143,0.6224501123848268,-0.0031521325136841744
PL1516,Ben Foster,West Bromwich Albion,FREE,MEDIUM_LEFT,1,1.0,0.591324200913242,-0.004310599400772716
PL1516,Ben Foster,West Bromwich Albion,FREE,MEDIUM_RIGHT,1,1.0,0.6303501945525292,-0.0026178472385774906
PL1516,Ben Foster,West Bromwich Albion,FREE,VERY_LONG_CENTRAL,16,0.3125,0.6269016888892796,-0.0036124344359502953
PL1516,Ben Foster,West Bromwich Albion,FREE,VERY_LONG_LEFT,9,0.7777777777777778,0.593635517395559,-0.00530706475950627
PL1516,Ben Foster,West Bromwich Albion,FREE,VERY_LONG_RIGHT,37,0.7567567567567568,0.6277501493279329,-0.003120789100995159
PL1516,Bradley Guzan,Aston Villa,FREE,LONG_CENTRAL,18,0.5555555555555556,0.6503514390781286,-0.002867434414820976
PL1516,Bradley Guzan,Aston Villa,FREE,LONG_LEFT,62,0.7419354838709677,0.6481301088044982,-0.0037659152876538494
PL1516,Bradley Guzan,Aston Villa,FREE,LONG_RIGHT,51,0.7058823529411765,0.6411792582934197,-0.002921348195638369
PL1516,Bradley Guzan,Aston Villa,FREE,MEDIUM_CENTRAL,2,1.0,0.5887349246129265,-0.004059725816516135
PL1516,Bradley Guzan,Aston Villa,FREE,MEDIUM_LEFT,3,1.0,0.6868841263130507,-0.003202823943120925
PL1516,Bradley Guzan,Aston Villa,FREE,MEDIUM_RIGHT,4,1.0,0.6464519461845655,-0.0024000641851813546
PL1516,Bradley Guzan,Aston Villa,FREE,SHORT_CENTRAL,7,1.0,0.6095786354473818,-0.004327323134020653
PL1516,Bradley Guzan,Aston Villa,FREE,SHORT_LEFT,3,1.0,0.6233298739527663,-0.002861441497897063
PL1516,Bradley Guzan,Aston Villa,FREE,SHORT_RIGHT,4,1.0,0.6086739844358972,-0.00269227999909362
PL1516,Bradley Guzan,Aston Villa,FREE,VERY_LONG_CENTRAL,3,0.6666666666666666,0.6598766028431111,-0.0033321736745436305
PL1516,Bradley Guzan,Aston Villa,FREE,VERY_LONG_LEFT,12,0.75,0.631882490939726,-0.003814189625639921
PL1516,Bradley Guzan,Aston Villa,FREE,VERY_LONG_RIGHT,9,0.6666666666666666,0.642686473317468,-0.0031012487950532706
PL1516,Carl Jenkinson,West Ham United,FREE,LONG_CENTRAL,1,1.0,0.591324200913242,-0.005003882106131557
PL1516,Costel Fane Pantilimon,Sunderland,FREE,LONG_CENTRAL,23,0.5217391304347826,0.6023414776165964,-0.003327416484820798
PL1516,Costel Fane Pantilimon,Sunderland,FREE,LONG_LEFT,26,0.5769230769230769,0.5885053951227193,-0.005142549896054795
PL1516,Costel Fane Pantilimon,Sunderland,FREE,LONG_RIGHT,44,0.6363636363636364,0.6133374563445302,-0.0028234051875942346
PL1516,Costel Fane Pantilimon,Sunderland,FREE,MEDIUM_LEFT,5,1.0,0.6179298410941565,-0.004667785641035987
PL1516,Costel Fane Pantilimon,Sunderland,FREE,MEDIUM_RIGHT,3,1.0,0.6004411848965794,-0.0026940707858640347
PL1516,Costel Fane Pantilimon,Sunderland,FREE,SHORT_CENTRAL,1,1.0,0.6166666666666667,-0.004786388004871267
PL1516,Costel Fane Pantilimon,Sunderland,FREE,SHORT_LEFT,7,1.0,0.6161081275466918,-0.004409538057264393
PL1516,Costel Fane Pantilimon,Sunderland,FREE,SHORT_RIGHT,3,1.0,0.6503683038445537,-0.001385110927868931
PL1516,Costel Fane Pantilimon,Sunderland,FREE,VERY_LONG_CENTRAL,2,0.5,0.5841817379188565,-0.004617967521430627
PL1516,Costel Fane Pantilimon,Sunderland,FREE,VERY_LONG_LEFT,5,0.8,0.5973996148056845,-0.00468177141912426
PL1516,Costel Fane Pantilimon,Sunderland,FREE,VERY_LONG_RIGHT,8,0.5,0.6191087588720128,-0.002831969277435924
PL1516,Danny Ward,Liverpool,FREE,LONG_CENTRAL,1,0.0,0.6290322580645161,-0.0018510733037906775
PL1516,Danny Ward,Liverpool,FREE,LONG_RIGHT,1,0.0,0.5269461077844312,-0.005169802471352591
PL1516,Danny Ward,Liverpool,FREE,MEDIUM_LEFT,2,1.0,0.6447048082775411,-0.0014639566926989813
PL1516,Danny Ward,Liverpool,FREE,SHORT_RIGHT,2,1.0,0.6603773584905659,-0.001076840081607285
PL1516,Danny Ward,Liverpool,FREE,VERY_LONG_CENTRAL,3,0.0,0.6548117154811716,-0.0030316368709930696
PL1516,Danny Ward,Liverpool,FREE,VERY_LONG_LEFT,1,1.0,0.6603773584905659,-0.001076840081607285
PL1516,Darren Randolph,West Ham United,FREE,LONG_CENTRAL,2,0.5,0.5925343582576287,-0.005380360816498979
PL1516,Darren Randolph,West Ham United,FREE,LONG_LEFT,2,0.5,0.6873948965416392,-0.0030455414663546807
PL1516,Darren Randolph,West Ham United,FREE,LONG_RIGHT,3,1.0,0.5680648105101849,-0.0035720652944694832
PL1516,Darren Randolph,West Ham United,FREE,MEDIUM_LEFT,2,1.0,0.6807653575025177,-0.0029576469987498927
PL1516,Darren Randolph,West Ham United,FREE,MEDIUM_RIGHT,1,1.0,0.6807653575025177,-0.0029576469987498927
PL1516,Darren Randolph,West Ham United,FREE,SHORT_CENTRAL,2,1.0,0.6030357664944936,-0.0028620181552685637
PL1516,Darren Randolph,West Ham United,FREE,SHORT_RIGHT,1,1.0,0.6807653575025177,-0.001187645126562227
PL1516,Darren Randolph,West Ham United,FREE,VERY_LONG_CENTRAL,7,1.0,0.5606282165421951,-0.0046648647799579
PL1516,Darren Randolph,West Ham United,FREE,VERY_LONG_LEFT,2,0.0,0.6079664570230607,-0.0037576810705285016
PL1516,Darren Randolph,West Ham United,FREE,VERY_LONG_RIGHT,8,0.5,0.5654356681980145,-0.004704894445965218
PL1516,David Ospina Ramírez,Arsenal,FREE,LONG_CENTRAL,6,1.0,0.5617790304817935,-0.0046178348475534306
PL1516,David Ospina Ramírez,Arsenal,FREE,LONG_LEFT,6,1.0,0.5781806099174517,-0.005421307615380243
PL1516,David Ospina Ramírez,Arsenal,FREE,LONG_RIGHT,8,0.625,0.554928325483879,-0.004779379554406049
PL1516,David Ospina Ramírez,Arsenal,FREE,MEDIUM_LEFT,1,1.0,0.5269461077844312,-0.006869469345661653
PL1516,David Ospina Ramírez,Arsenal,FREE,SHORT_LEFT,1,1.0,0.6290322580645161,-0.0018510733037906775
PL1516,David Ospina Ramírez,Arsenal,FREE,SHORT_RIGHT,1,1.0,0.6290322580645161,-0.0018510733037906775
PL1516,David Ospina Ramírez,Arsenal,FREE,VERY_LONG_CENTRAL,1,1.0,0.5742092457420925,-0.005420969992175349
PL1516,David Ospina Ramírez,Arsenal,FREE,VERY_LONG_LEFT,1,1.0,0.5246913580246915,-0.007050192683164717
PL1516,David de Gea Quintana,Manchester United,FREE,LONG_CENTRAL,18,0.5,0.5805941036678273,-0.004613957992955586
PL1516,David de Gea Quintana,Manchester United,FREE,LONG_LEFT,69,0.6811594202898551,0.5819680749013689,-0.00505958446384983
PL1516,David de Gea Quintana,Manchester United,FREE,LONG_RIGHT,47,0.8085106382978723,0.5791314818368446,-0.004156464203905375
PL1516,David de Gea Quintana,Manchester United,FREE,MEDIUM_CENTRAL,5,1.0,0.5546841776680893,-0.004951821766658415
PL1516,David de Gea Quintana,Manchester United,FREE,MEDIUM_LEFT,14,0.9285714285714286,0.5813817282910974,-0.005139686425974802
PL1516,David de Gea Quintana,Manchester United,FREE,MEDIUM_RIGHT,8,1.0,0.6217116458522373,-0.002886690514612736
PL1516,David de Gea Quintana,Manchester United,FREE,SHORT_CENTRAL,13,1.0,0.5916184696393388,-0.0039006565158418507
PL1516,David de Gea Quintana,Manchester United,FREE,SHORT_LEFT,21,1.0,0.5880176126758276,-0.005145505738855083
PL1516,David de Gea Quintana,Manchester United,FREE,SHORT_RIGHT,8,1.0,0.5983474848364765,-0.004154558349360219
PL1516,David de Gea Quintana,Manchester United,FREE,VERY_LONG_CENTRAL,6,0.5,0.6068033292763056,-0.004218130547205229
PL1516,David de Gea Quintana,Manchester United,FREE,VERY_LONG_LEFT,23,0.6956521739130435,0.5785592865213675,-0.004760180877627651
PL1516,David de Gea Quintana,Manchester United,FREE,VERY_LONG_RIGHT,11,0.8181818181818182,0.5979814691281278,-0.004260037466234128
PL1516,Declan Rudd,Norwich City,FREE,LONG_CENTRAL,4,0.5,0.6187284129965214,-0.002973978404978387
PL1516,Declan Rudd,Norwich City,FREE,LONG_LEFT,9,0.7777777777777778,0.6042406497112239,-0.003970910101912801
PL1516,Declan Rudd,Norwich City,FREE,LONG_RIGHT,18,0.6666666666666666,0.6192832869876219,-0.00310318287736317
PL1516,Declan Rudd,Norwich City,FREE,MEDIUM_CENTRAL,1,0.0,0.664440734557596,-0.001757157046835947
PL1516,Declan Rudd,Norwich City,FREE,MEDIUM_LEFT,3,1.0,0.6334133160347558,-0.0031124170736241442
PL1516,Declan Rudd,Norwich City,FREE,MEDIUM_RIGHT,2,1.0,0.6315186319272668,-0.001972208993964016
PL1516,Declan Rudd,Norwich City,FREE,SHORT_CENTRAL,2,1.0,0.6337601078167114,-0.003478904471192474
PL1516,Declan Rudd,Norwich City,FREE,SHORT_LEFT,1,1.0,0.664440734557596,-0.003831071076570393
PL1516,Declan Rudd,Norwich City,FREE,SHORT_RIGHT,1,1.0,0.6290322580645161,-0.00448203149800393
