cohort,keeper,team,goal_kick,pressure_state,realized_bin,n,retention,xR,value
PL1516,Adam Federici,AFC Bournemouth,False,FREE,LONG,22,0.6363636363636364,0.6528785784985991,-0.00553252914295737
PL1516,Adam Federici,AFC Bournemouth,False,FREE,MEDIUM,18,0.7777777777777778,0.7016790486579993,-0.004368030055375335
PL1516,Adam Federici,AFC Bournemouth,False,FREE,SHORT,50,1.0,0.7853620528147417,-0.0029364176001003828
PL1516,Adam Federici,AFC Bournemouth,False,FREE,VERY_LONG,3,0.0,0.6147186147186147,-0.00504560102443079
PL1516,Adam Federici,AFC Bournemouth,False,PRESSURED,LONG,6,0.16666666666666666,0.5100235391990489,-0.00887920908575057
PL1516,Adam Federici,AFC Bournemouth,False,PRESSURED,MEDIUM,2,0.5,0.4996354155158318,-0.009740710960555215
PL1516,Adam Federici,AFC Bournemouth,True,FREE,LONG,21,0.6666666666666666,0.6402469785866183,-0.0030888248465449886
PL1516,Adam Federici,AFC Bournemouth,True,FREE,MEDIUM,1,1.0,0.5770392749244712,-0.00387296300674645
PL1516,Adam Federici,AFC Bournemouth,True,FREE,SHORT,3,1.0,0.6203150807915808,-0.004778232198186016
PL1516,Adam Federici,AFC Bournemouth,True,FREE,VERY_LONG,4,0.5,0.6444037733056713,-0.003056853851447029
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,LONG,261,0.4904214559386973,0.6426921076468797,-0.005796093056650986
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,MEDIUM,105,0.8666666666666667,0.801469440769253,-0.003021659365429812
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,SHORT,174,0.9885057471264368,0.816516240248225,-0.0026416361747056733
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,VERY_LONG,92,0.43478260869565216,0.5982675371810361,-0.0057425465534469144
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,LONG,44,0.4772727272727273,0.4946518504732401,-0.007992009623467177
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,MEDIUM,14,0.6428571428571429,0.503973192072691,-0.007655080568396615
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,SHORT,2,1.0,0.5094223046030275,-0.008597903309015505
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,VERY_LONG,9,0.2222222222222222,0.5022919125870247,-0.009318723957021956
PL1516,Adrián San Miguel del Castillo,West Ham United,True,FREE,LONG,153,0.6405228758169934,0.5975773348727885,-0.003908330798441442
PL1516,Adrián San Miguel del Castillo,West Ham United,True,FREE,MEDIUM,21,1.0,0.6009811011852518,-0.004066155327269459
PL1516,Adrián San Miguel del Castillo,West Ham United,True,FREE,SHORT,37,1.0,0.6118652994018131,-0.003878295143927639
PL1516,Adrián San Miguel del Castillo,West Ham United,True,FREE,VERY_LONG,77,0.4935064935064935,0.5901064085528269,-0.004023158275081956
PL1516,Alex McCarthy,Crystal Palace,False,FREE,LONG,66,0.5454545454545454,0.6445805396714804,-0.005449459977041479
PL1516,Alex McCarthy,Crystal Palace,False,FREE,MEDIUM,14,0.6428571428571429,0.7156356785490532,-0.004836296540814196
PL1516,Alex McCarthy,Crystal Palace,False,FREE,SHORT,21,0.9523809523809523,0.729692493483781,-0.004039602773814572
PL1516,Alex McCarthy,Crystal Palace,False,FREE,VERY_LONG,40,0.35,0.5853024852938365,-0.006254954915428347
PL1516,Alex McCarthy,Crystal Palace,False,PRESSURED,LONG,6,0.3333333333333333,0.5151747786478326,-0.008410636866841117
PL1516,Alex McCarthy,Crystal Palace,False,PRESSURED,MEDIUM,2,0.0,0.44529914529914527,-0.00938560174561911
PL1516,Alex McCarthy,Crystal Palace,False,PRESSURED,VERY_LONG,1,0.0,0.39285714285714285,-0.016981762520937478
PL1516,Alex McCarthy,Crystal Palace,True,FREE,LONG,25,0.48,0.5836154213383251,-0.004251354416017837
PL1516,Alex McCarthy,Crystal Palace,True,FREE,MEDIUM,4,1.0,0.6037891848528083,-0.0033578870488001024
PL1516,Alex McCarthy,Crystal Palace,True,FREE,SHORT,3,1.0,0.5950648408105579,-0.004503971373875222
PL1516,Alex McCarthy,Crystal Palace,True,FREE,VERY_LONG,38,0.5,0.580137292690618,-0.00426386718245052
PL1516,Artur Boruc,AFC Bournemouth,False,FREE,LONG,177,0.5254237288135594,0.67627161392396,-0.004681144639635368
PL1516,Artur Boruc,AFC Bournemouth,False,FREE,MEDIUM,128,0.8671875,0.7835337721797256,-0.0033854048266956003
PL1516,Artur Boruc,AFC Bournemouth,False,FREE,SHORT,227,0.9911894273127754,0.8015856049874249,-0.0028625820961593468
PL1516,Artur Boruc,AFC Bournemouth,False,FREE,VERY_LONG,83,0.3132530120481928,0.6186570278617828,-0.005290555546263257
PL1516,Artur Boruc,AFC Bournemouth,False,PRESSURED,LONG,20,0.35,0.511720394287482,-0.007670444658961516
PL1516,Artur Boruc,AFC Bournemouth,False,PRESSURED,MEDIUM,3,1.0,0.4325270094731173,-0.010674027309889643
PL1516,Artur Boruc,AFC Bournemouth,False,PRESSURED,SHORT,3,1.0,0.49567200917286763,-0.005737461718019813
PL1516,Artur Boruc,AFC Bournemouth,False,PRESSURED,VERY_LONG,2,0.5,0.5128205128205128,-0.008184858687540791
PL1516,Artur Boruc,AFC Bournemouth,True,FREE,LONG,125,0.536,0.6031481363081659,-0.004154495353867432
PL1516,Artur Boruc,AFC Bournemouth,True,FREE,MEDIUM,42,0.8571428571428571,0.6286391771094842,-0.003519225107018429
PL1516,Artur Boruc,AFC Bournemouth,True,FREE,SHORT,53,1.0,0.6311609804097932,-0.003483104783833322
PL1516,Artur Boruc,AFC Bournemouth,True,FREE,VERY_LONG,44,0.4318181818181818,0.585949733581728,-0.004265492927883232
PL1516,Asmir Begović,Chelsea,False,FREE,LONG,92,0.44565217391304346,0.6323563996841775,-0.0055816816694204035
PL1516,Asmir Begović,Chelsea,False,FREE,MEDIUM,42,0.8095238095238095,0.7952400830674078,-0.0033738397149777532
PL1516,Asmir Begović,Chelsea,False,FREE,SHORT,100,1.0,0.7977160332156812,-0.0031002930402732015
PL1516,Asmir Begović,Chelsea,False,FREE,VERY_LONG,44,0.2727272727272727,0.5966539411612927,-0.006005054604911903
PL1516,Asmir Begović,Chelsea,False,PRESSURED,LONG,18,0.2222222222222222,0.4961534074524926,-0.008299369511743383
PL1516,Asmir Begović,Chelsea,False,PRESSURED,MEDIUM,3,0.3333333333333333,0.5352045043502561,-0.007409838822662548
PL1516,Asmir Begović,Chelsea,False,PRESSURED,SHORT,2,0.0,0.47202471925044853,-0.00788110626489971
PL1516,Asmir Begović,Chelsea,False,PRESSURED,VERY_LONG,1,0.0,0.5060240963855422,-0.01082315709910095
PL1516,Asmir Begović,Chelsea,True,FREE,LONG,26,0.5,0.5835209202974322,-0.004565856221509671
PL1516,Asmir Begović,Chelsea,True,FREE,MEDIUM,14,1.0,0.6039520543217358,-0.0037368065486546097
PL1516,Asmir Begović,Chelsea,True,FREE,SHORT,13,1.0,0.6110359626885383,-0.0028958993696338673
PL1516,Asmir Begović,Chelsea,True,FREE,VERY_LONG,53,0.2830188679245283,0.601278071759038,-0.0036642258239477136
PL1516,Ben Foster,West Bromwich Albion,False,FREE,LONG,124,0.6209677419354839,0.671455874125195,-0.005101234838306666
PL1516,Ben Foster,West Bromwich Albion,False,FREE,MEDIUM,19,0.9473684210526315,0.8709246795773314,-0.0015497014592512298
PL1516,Ben Foster,West Bromwich Albion,False,FREE,SHORT,45,1.0,0.8440332327765958,-0.0022524578140044357
PL1516,Ben Foster,West Bromwich Albion,False,FREE,VERY_LONG,65,0.5846153846153846,0.636584743510157,-0.0056616158438458205
PL1516,Ben Foster,West Bromwich Albion,False,PRESSURED,LONG,11,0.7272727272727273,0.5016435472749258,-0.007320855629284076
PL1516,Ben Foster,West Bromwich Albion,False,PRESSURED,VERY_LONG,1,0.0,0.5269461077844312,-0.006647166804136965
PL1516,Ben Foster,West Bromwich Albion,True,FREE,LONG,61,0.6557377049180327,0.6244396635525679,-0.0035109121038039005
PL1516,Ben Foster,West Bromwich Albion,True,FREE,MEDIUM,3,0.6666666666666666,0.5924099836737756,-0.004455656232933308
PL1516,Ben Foster,West Bromwich Albion,True,FREE,VERY_LONG,77,0.5714285714285714,0.6191805745224072,-0.0036284349885817315
PL1516,Bradley Guzan,Aston Villa,False,FREE,LONG,266,0.5413533834586466,0.6865840966826393,-0.004720577017091487
PL1516,Bradley Guzan,Aston Villa,False,FREE,MEDIUM,85,0.8705882352941177,0.8171959706294452,-0.0022794127103825724
PL1516,Bradley Guzan,Aston Villa,False,FREE,SHORT,133,0.9924812030075187,0.833886134966286,-0.002584195945073013
