cohort,keeper,team,goal_kick,pressure,choice_bin,choice_length_source,choice_observable_n,all_action_n,coverage,frequency,retention,xR,value
PL1516,Adam Federici,AFC Bournemouth,False,FREE,LONG,provider_target_geometry,87,93,0.9354838709677419,0.22988505747126436,0.65,0.6435455207217002,-0.0055784765519002865
PL1516,Adam Federici,AFC Bournemouth,False,FREE,MEDIUM,provider_target_geometry,87,93,0.9354838709677419,0.1839080459770115,0.875,0.7100429285192481,-0.004286808580986545
PL1516,Adam Federici,AFC Bournemouth,False,FREE,SHORT,provider_target_geometry,87,93,0.9354838709677419,0.5747126436781609,1.0,0.7853620528147416,-0.0029364176001003828
PL1516,Adam Federici,AFC Bournemouth,False,FREE,VERY_LONG,provider_target_geometry,87,93,0.9354838709677419,0.011494252873563218,0.0,0.6071428571428571,-0.005917087417647397
PL1516,Adam Federici,AFC Bournemouth,False,PRESSURED,LONG,provider_target_geometry,6,8,0.75,0.8333333333333334,0.2,0.5175633023894122,-0.00940551760790172
PL1516,Adam Federici,AFC Bournemouth,False,PRESSURED,MEDIUM,provider_target_geometry,6,8,0.75,0.16666666666666666,1.0,0.5269461077844312,-0.0041141885432705305
PL1516,Adam Federici,AFC Bournemouth,True,FREE,LONG,provider_target_geometry,25,29,0.8620689655172413,0.76,0.7368421052631579,0.6379158013438243,-0.0032166781158193556
PL1516,Adam Federici,AFC Bournemouth,True,FREE,MEDIUM,provider_target_geometry,25,29,0.8620689655172413,0.04,1.0,0.5770392749244712,-0.00387296300674645
PL1516,Adam Federici,AFC Bournemouth,True,FREE,SHORT,provider_target_geometry,25,29,0.8620689655172413,0.12,1.0,0.6203150807915808,-0.004778232198186016
PL1516,Adam Federici,AFC Bournemouth,True,FREE,VERY_LONG,provider_target_geometry,25,29,0.8620689655172413,0.08,0.5,0.6172282866635026,-0.0029275909358116177
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,LONG,provider_target_geometry,535,632,0.8465189873417721,0.4,0.5560747663551402,0.6422984110795728,-0.005834890961891048
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,MEDIUM,provider_target_geometry,535,632,0.8465189873417721,0.17757009345794392,0.9473684210526315,0.8185253489866181,-0.0027221590440705433
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,SHORT,provider_target_geometry,535,632,0.8465189873417721,0.31962616822429907,1.0,0.8203379781848953,-0.002584078365748718
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,VERY_LONG,provider_target_geometry,535,632,0.8465189873417721,0.102803738317757,0.5818181818181818,0.6069183480678387,-0.0054982189017893385
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,LONG,provider_target_geometry,56,69,0.8115942028985508,0.6607142857142857,0.5405405405405406,0.49921825021568106,-0.008414458054606846
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,MEDIUM,provider_target_geometry,56,69,0.8115942028985508,0.17857142857142858,0.9,0.508743651908192,-0.007676854840278735
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,SHORT,provider_target_geometry,56,69,0.8115942028985508,0.03571428571428571,1.0,0.5094223046030275,-0.008597903309015505
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,VERY_LONG,provider_target_geometry,56,69,0.8115942028985508,0.125,0.2857142857142857,0.49808643435486094,-0.007242429401417607
PL1516,Adrián San Miguel del Castillo,West Ham United,True,FREE,LONG,provider_target_geometry,237,288,0.8229166666666666,0.5527426160337553,0.7175572519083969,0.5957349116147818,-0.003900020512658443
