cohort,keeper,team,goal_kick,pressure,zone_share_identifiable,shares_sum_to_one
PL1516,Adam Federici,AFC Bournemouth,False,FREE,1.0,True
PL1516,Adam Federici,AFC Bournemouth,False,PRESSURED,1.0,True
PL1516,Adam Federici,AFC Bournemouth,True,FREE,1.0,True
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,1.0,True
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,1.0,True
PL1516,Adrián San Miguel del Castillo,West Ham United,True,FREE,1.0,True
PL1516,Alex McCarthy,Crystal Palace,False,FREE,1.0,True
PL1516,Alex McCarthy,Crystal Palace,False,PRESSURED,1.0,True
PL1516,Alex McCarthy,Crystal Palace,True,FREE,1.0,True
PL1516,Artur Boruc,AFC Bournemouth,False,FREE,1.0,True
PL1516,Artur Boruc,AFC Bournemouth,False,PRESSURED,1.0,True
PL1516,Artur Boruc,AFC Bournemouth,True,FREE,1.0,True
PL1516,Asmir Begović,Chelsea,False,FREE,1.0,True
PL1516,Asmir Begović,Chelsea,False,PRESSURED,1.0,True
PL1516,Asmir Begović,Chelsea,True,FREE,1.0,True
PL1516,Ben Foster,West Bromwich Albion,False,FREE,1.0,True
PL1516,Ben Foster,West Bromwich Albion,False,PRESSURED,1.0,True
PL1516,Ben Foster,West Bromwich Albion,True,FREE,1.0,True
PL1516,Bradley Guzan,Aston Villa,False,FREE,1.0,True
PL1516,Bradley Guzan,Aston Villa,False,PRESSURED,1.0,True
PL1516,Bradley Guzan,Aston Villa,True,FREE,1.0,True
PL1516,Carl Jenkinson,West Ham United,False,FREE,1.0,True
PL1516,Carl Jenkinson,West Ham United,True,FREE,1.0,True
PL1516,Costel Fane Pantilimon,Sunderland,False,FREE,1.0,True
PL1516,Costel Fane Pantilimon,Sunderland,False,PRESSURED,1.0,True
PL1516,Costel Fane Pantilimon,Sunderland,True,FREE,1.0,True
PL1516,Danny Ward,Liverpool,False,FREE,1.0,True
PL1516,Danny Ward,Liverpool,True,FREE,1.0,True
PL1516,Darren Randolph,West Ham United,False,FREE,1.0,True
PL1516,Darren Randolph,West Ham United,False,PRESSURED,1.0,True
PL1516,Darren Randolph,West Ham United,True,FREE,1.0,True
PL1516,David Ospina Ramírez,Arsenal,False,FREE,1.0,True
PL1516,David Ospina Ramírez,Arsenal,False,PRESSURED,1.0,True
PL1516,David Ospina Ramírez,Arsenal,True,FREE,1.0,True
PL1516,David de Gea Quintana,Manchester United,False,FREE,1.0,True
PL1516,David de Gea Quintana,Manchester United,False,PRESSURED,1.0,True
PL1516,David de Gea Quintana,Manchester United,True,FREE,1.0,True
PL1516,Declan Rudd,Norwich City,False,FREE,1.0,True
PL1516,Declan Rudd,Norwich City,False,PRESSURED,1.0,True
PL1516,Declan Rudd,Norwich City,True,FREE,1.0,True
PL1516,Fraser Forster,Southampton,False,FREE,1.0,True
PL1516,Fraser Forster,Southampton,False,PRESSURED,1.0,True
PL1516,Fraser Forster,Southampton,True,FREE,1.0,True
PL1516,Giedrius Arlauskis,Watford,False,FREE,1.0,True
PL1516,Giedrius Arlauskis,Watford,False,PRESSURED,1.0,True
PL1516,Glyn Oliver Myhill,West Bromwich Albion,False,FREE,1.0,True
PL1516,Glyn Oliver Myhill,West Bromwich Albion,False,PRESSURED,1.0,True
PL1516,Glyn Oliver Myhill,West Bromwich Albion,True,FREE,1.0,True
PL1516,Heurelho da Silva Gomes,Watford,False,FREE,1.0,True
PL1516,Heurelho da Silva Gomes,Watford,False,PRESSURED,1.0,True
PL1516,Heurelho da Silva Gomes,Watford,True,FREE,1.0,True
PL1516,Hugo Lloris,Tottenham Hotspur,False,FREE,1.0,True
PL1516,Hugo Lloris,Tottenham Hotspur,False,PRESSURED,1.0,True
PL1516,Hugo Lloris,Tottenham Hotspur,True,FREE,1.0,True
PL1516,Jack Butland,Stoke City,False,FREE,1.0,True
PL1516,Jack Butland,Stoke City,False,PRESSURED,1.0,True
PL1516,Jack Butland,Stoke City,True,FREE,1.0,True
PL1516,Jakob Haugaard,Stoke City,False,FREE,1.0,True
PL1516,Jakob Haugaard,Stoke City,False,PRESSURED,1.0,True
PL1516,Jakob Haugaard,Stoke City,True,FREE,1.0,True
PL1516,Joe Hart,Manchester City,False,FREE,1.0,True
PL1516,Joe Hart,Manchester City,False,PRESSURED,1.0,True
PL1516,Joe Hart,Manchester City,True,FREE,1.0,True
PL1516,Joel Robles Blázquez,Everton,False,FREE,1.0,True
PL1516,Joel Robles Blázquez,Everton,False,PRESSURED,1.0,True
PL1516,Joel Robles Blázquez,Everton,True,FREE,0.9999999999999999,True
PL1516,John Ruddy,Norwich City,False,FREE,1.0,True
PL1516,John Ruddy,Norwich City,False,PRESSURED,1.0,True
PL1516,John Ruddy,Norwich City,True,FREE,1.0,True
PL1516,Jordan Pickford,Sunderland,False,FREE,1.0,True
PL1516,Jordan Pickford,Sunderland,False,PRESSURED,1.0,True
PL1516,Jordan Pickford,Sunderland,True,FREE,1.0,True
PL1516,Julián Speroni,Crystal Palace,False,FREE,1.0,True
PL1516,Julián Speroni,Crystal Palace,False,PRESSURED,1.0,True
PL1516,Julián Speroni,Crystal Palace,True,FREE,1.0,True
PL1516,Karl Darlow,Newcastle United,False,FREE,1.0,True
PL1516,Karl Darlow,Newcastle United,False,PRESSURED,1.0,True
PL1516,Karl Darlow,Newcastle United,True,FREE,1.0,True
