cohort,keeper,team,goal_kick,pressure,target_zone,target_identifiable_n,all_action_n,target_coverage,zone_n,zone_share_identifiable,retention,xR,value,central_6_zone_proxy
PL1516,Adam Federici,AFC Bournemouth,False,FREE,LONG_CENTRAL,87,93,0.9354838709677419,2,0.022988505747126436,0.0,0.627882467735419,-0.005565296794003395,CENTRAL_ZONE_PROXY_ONLY
PL1516,Adam Federici,AFC Bournemouth,False,FREE,LONG_LEFT,87,93,0.9354838709677419,3,0.034482758620689655,1.0,0.6767374340326899,-0.0038756688985902253,NO
PL1516,Adam Federici,AFC Bournemouth,False,FREE,LONG_RIGHT,87,93,0.9354838709677419,15,0.1724137931034483,0.6666666666666666,0.6389955451243399,-0.005920795383615218,NO
PL1516,Adam Federici,AFC Bournemouth,False,FREE,MEDIUM_CENTRAL,87,93,0.9354838709677419,3,0.034482758620689655,1.0,0.6619564353287225,-0.005113233350835626,CENTRAL_ZONE_PROXY_ONLY
PL1516,Adam Federici,AFC Bournemouth,False,FREE,MEDIUM_LEFT,87,93,0.9354838709677419,7,0.08045977011494253,1.0,0.7391668562966122,-0.003306934061441366,NO
PL1516,Adam Federici,AFC Bournemouth,False,FREE,MEDIUM_RIGHT,87,93,0.9354838709677419,6,0.06896551724137931,0.6666666666666666,0.7001082593742529,-0.005016783135531381,NO
PL1516,Adam Federici,AFC Bournemouth,False,FREE,SHORT_CENTRAL,87,93,0.9354838709677419,17,0.19540229885057472,1.0,0.818867849526318,-0.0025158911364383876,CENTRAL_ZONE_PROXY_ONLY
PL1516,Adam Federici,AFC Bournemouth,False,FREE,SHORT_LEFT,87,93,0.9354838709677419,14,0.16091954022988506,1.0,0.7596868848627573,-0.004233831348013239,NO
PL1516,Adam Federici,AFC Bournemouth,False,FREE,SHORT_RIGHT,87,93,0.9354838709677419,19,0.21839080459770116,1.0,0.77430172687953,-0.0023566890428095362,NO
PL1516,Adam Federici,AFC Bournemouth,False,FREE,VERY_LONG_RIGHT,87,93,0.9354838709677419,1,0.011494252873563218,0.0,0.6071428571428571,-0.005917087417647397,NO
PL1516,Adam Federici,AFC Bournemouth,False,PRESSURED,LONG_LEFT,6,8,0.75,4,0.6666666666666666,0.0,0.5132907616501315,-0.010538962039312486,NO
PL1516,Adam Federici,AFC Bournemouth,False,PRESSURED,LONG_RIGHT,6,8,0.75,1,0.16666666666666666,1.0,0.5346534653465346,-0.00487173988225865,NO
PL1516,Adam Federici,AFC Bournemouth,False,PRESSURED,MEDIUM_RIGHT,6,8,0.75,1,0.16666666666666666,1.0,0.5269461077844312,-0.0041141885432705305,NO
PL1516,Adam Federici,AFC Bournemouth,True,FREE,LONG_CENTRAL,25,29,0.8620689655172413,5,0.2,0.6,0.6549181914426627,-0.0023960321452802294,CENTRAL_ZONE_PROXY_ONLY
PL1516,Adam Federici,AFC Bournemouth,True,FREE,LONG_LEFT,25,29,0.8620689655172413,5,0.2,0.8,0.6090985346930737,-0.004355819272416439,NO
PL1516,Adam Federici,AFC Bournemouth,True,FREE,LONG_RIGHT,25,29,0.8620689655172413,9,0.36,0.7777777777777778,0.644479621650442,-0.003039736345787156,NO
PL1516,Adam Federici,AFC Bournemouth,True,FREE,MEDIUM_LEFT,25,29,0.8620689655172413,1,0.04,1.0,0.5770392749244712,-0.00387296300674645,NO
PL1516,Adam Federici,AFC Bournemouth,True,FREE,SHORT_CENTRAL,25,29,0.8620689655172413,2,0.08,1.0,0.6094961293248033,-0.004982557987369926,CENTRAL_ZONE_PROXY_ONLY
PL1516,Adam Federici,AFC Bournemouth,True,FREE,SHORT_LEFT,25,29,0.8620689655172413,1,0.04,1.0,0.6419529837251357,-0.004369580619818196,NO
PL1516,Adam Federici,AFC Bournemouth,True,FREE,VERY_LONG_CENTRAL,25,29,0.8620689655172413,1,0.04,1.0,0.6530612244897959,-0.0021061328355420775,CENTRAL_ZONE_PROXY_ONLY
PL1516,Adam Federici,AFC Bournemouth,True,FREE,VERY_LONG_LEFT,25,29,0.8620689655172413,1,0.04,0.0,0.5813953488372093,-0.003749049036081158,NO
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,LONG_CENTRAL,535,632,0.8465189873417721,83,0.15514018691588785,0.5060240963855421,0.6227653717425535,-0.0060643755080724,CENTRAL_ZONE_PROXY_ONLY
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,LONG_LEFT,535,632,0.8465189873417721,56,0.10467289719626169,0.6071428571428571,0.6779456079079341,-0.005204549364034098,NO
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,LONG_RIGHT,535,632,0.8465189873417721,75,0.14018691588785046,0.5733333333333334,0.6372984009806979,-0.006051583123850207,NO
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,MEDIUM_CENTRAL,535,632,0.8465189873417721,13,0.024299065420560748,1.0,0.7844919266103921,-0.00297851586314695,CENTRAL_ZONE_PROXY_ONLY
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,MEDIUM_LEFT,535,632,0.8465189873417721,45,0.08411214953271028,0.9777777777777777,0.8678561418531638,-0.002103221299128869,NO
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,MEDIUM_RIGHT,535,632,0.8465189873417721,37,0.0691588785046729,0.8918918918918919,0.7704861276865194,-0.0033848498514862753,NO
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,SHORT_CENTRAL,535,632,0.8465189873417721,70,0.1308411214953271,1.0,0.8464337585348427,-0.0021818135322810984,CENTRAL_ZONE_PROXY_ONLY
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,SHORT_LEFT,535,632,0.8465189873417721,38,0.07102803738317758,1.0,0.8033026349714582,-0.0031007110043539026,NO
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,SHORT_RIGHT,535,632,0.8465189873417721,63,0.11775700934579439,1.0,0.801617953067661,-0.002719419605046121,NO
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,VERY_LONG_CENTRAL,535,632,0.8465189873417721,30,0.056074766355140186,0.5333333333333333,0.5942286394382279,-0.006175411371222415,CENTRAL_ZONE_PROXY_ONLY
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,VERY_LONG_LEFT,535,632,0.8465189873417721,5,0.009345794392523364,0.8,0.6545413722666069,-0.0025231590252887104,NO
PL1516,Adrián San Miguel del Castillo,West Ham United,False,FREE,VERY_LONG_RIGHT,535,632,0.8465189873417721,20,0.037383177570093455,0.6,0.6140471549625632,-0.00522619516676488,NO
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,LONG_CENTRAL,56,69,0.8115942028985508,18,0.32142857142857145,0.4444444444444444,0.5009111238126792,-0.008460846062810603,CENTRAL_ZONE_PROXY_ONLY
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,LONG_LEFT,56,69,0.8115942028985508,8,0.14285714285714285,0.75,0.5141133832008727,-0.0075186683719735015,NO
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,LONG_RIGHT,56,69,0.8115942028985508,11,0.19642857142857142,0.5454545454545454,0.4856152694313625,-0.008990033810370406,NO
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,MEDIUM_CENTRAL,56,69,0.8115942028985508,1,0.017857142857142856,0.0,0.5194805194805194,-0.0049928082113774065,CENTRAL_ZONE_PROXY_ONLY
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,MEDIUM_LEFT,56,69,0.8115942028985508,3,0.05357142857142857,1.0,0.5105550406755226,-0.009896979228373645,NO
PL1516,Adrián San Miguel del Castillo,West Ham United,False,PRESSURED,MEDIUM_RIGHT,56,69,0.8115942028985508,6,0.10714285714285714,1.0,0.5060484795958055,-0.007014133751048166,NO
