panel,metric,positive_cells,median_spearman,p10_spearman,minimum,maximum,action_positive_cells,action_median_spearman,action_minimum,action_maximum,team_FE_positive_outcomes,team_FE_significant_p<.05
keeper-level,B2_XR,15,0.2095393198461648,-0.0992160884982974,-0.1294117647058823,0.7088235294117646,,,,,,
action-decile,B2_XR,17,0.4545454545454545,,-0.4545454545454545,0.9515151515151514,17.0,0.4545454545454545,-0.4545454545454545,0.9515151515151514,,
keeper-level,B3_SUCCESS_ONLY,11,0.042627960275019,-0.548921023359288,-0.6832035595105673,0.6735294117647058,,,,,,
action-decile,B3_SUCCESS_ONLY,11,0.0666666666666666,,-0.8303030303030302,0.7212121212121211,11.0,0.0666666666666666,-0.8303030303030302,0.7212121212121211,,
keeper-level,B4_FIXED_FAILURE,11,0.0259740259740259,-0.262202447163515,-0.4206896551724138,0.7588235294117647,,,,,,
action-decile,B4_FIXED_FAILURE,14,0.15757575757575748,,-0.6363636363636362,0.8787878787878788,14.0,0.15757575757575748,-0.6363636363636362,0.8787878787878788,,
keeper-level,B5_COARSE_ORIGIN_FAILURE,10,0.0071810542398777,-0.2614460511679644,-0.4100111234705228,0.7588235294117647,,,,,,
action-decile,B5_COARSE_ORIGIN_FAILURE,15,0.1939393939393939,,-0.6121212121212121,0.9151515151515152,15.0,0.1939393939393939,-0.6121212121212121,0.9151515151515152,,
keeper-level,B6_FULL_XTGK,10,0.0055003819709701,-0.2763070077864293,-0.421579532814238,0.7588235294117647,,,,,,
action-decile,B6_FULL_XTGK,16,0.27878787878787875,,-0.6,0.8666666666666665,16.0,0.27878787878787875,-0.6,0.8666666666666665,,
team+cohort FE,B2_XR,4,,,,,,,,,4.0,2.0
team+cohort FE,B3_SUCCESS_ONLY,0,,,,,,,,,0.0,2.0
team+cohort FE,B4_FIXED_FAILURE,2,,,,,,,,,2.0,0.0
team+cohort FE,B5_COARSE_ORIGIN_FAILURE,2,,,,,,,,,2.0,0.0
team+cohort FE,B6_FULL_XTGK,2,,,,,,,,,2.0,0.0
