metric,outcome,team_cohort_FE_coefficient,cluster_SE,CI95_low,CI95_high,p
B2_XR,Y10_NET_XG,0.0054999367908284,0.004358616906391,-0.0030427953681053,0.0140426689497622,0.207001441459569
B2_XR,Y30_NET_XG,0.0174876681180238,0.0114715071651341,-0.0049960727740322,0.0399714090100799,0.1273978826164088
B2_XR,YCYCLE_NET_XG,0.0028124873180748,0.0009040263936653,0.0010406281454171,0.0045843464907326,0.0018641219323999
B2_XR,YNEXTSHOT,0.0017443649321561,0.0005642391301596,0.000638476558375,0.0028502533059372,0.0019912460967887
B3_SUCCESS_ONLY,Y10_NET_XG,-0.0119254385468813,0.003311575578551,-0.0184160074129237,-0.0054348696808389,0.0003168281168828
B3_SUCCESS_ONLY,Y30_NET_XG,-0.0307303691210263,0.0086298526277189,-0.0476445694632437,-0.0138161687788089,0.0003695325085126
B3_SUCCESS_ONLY,YCYCLE_NET_XG,-0.0005795359230245,0.0007383426292904,-0.0020266608846844,0.0008675890386354,0.4325036305713761
B3_SUCCESS_ONLY,YNEXTSHOT,-0.0004874539453585,0.0004443402898042,-0.0013583449102549,0.0003834370195379,0.2726289497226366
B4_FIXED_FAILURE,Y10_NET_XG,-0.0027634655574394,0.003147759670636,-0.0089329611438737,0.0034060300289947,0.3799898265785941
B4_FIXED_FAILURE,Y30_NET_XG,-0.0053578968613659,0.0083324177492925,-0.0216891355541215,0.0109733418313897,0.5202122438234372
B4_FIXED_FAILURE,YCYCLE_NET_XG,0.0010192902841903,0.0006652310556755,-0.0002845386263311,0.0023231191947119,0.1254644628294015
B4_FIXED_FAILURE,YNEXTSHOT,0.0005624866237385,0.0003988972469928,-0.0002193376138995,0.0013443108613766,0.1585089614248773
B5_COARSE_ORIGIN_FAILURE,Y10_NET_XG,-0.0022077420084246,0.0031444767133275,-0.0083708031167714,0.0039553190999222,0.4826158290277678
B5_COARSE_ORIGIN_FAILURE,Y30_NET_XG,-0.0038041258109151,0.0083256848858828,-0.0201221683338749,0.0125139167120446,0.6477325304139981
B5_COARSE_ORIGIN_FAILURE,YCYCLE_NET_XG,0.0010995088192428,0.0006667839249958,-0.0002073636592191,0.0024063812977049,0.0991531262860867
B5_COARSE_ORIGIN_FAILURE,YNEXTSHOT,0.0006061266610225,0.0004004898415248,-0.0001788190045404,0.0013910723265854,0.1301620268174166
B6_FULL_XTGK,Y10_NET_XG,-0.0027118166711328,0.0031259891907754,-0.0088386429011142,0.0034150095588484,0.3856644241328646
B6_FULL_XTGK,Y30_NET_XG,-0.0052331430221465,0.0082690297960162,-0.0214401436094269,0.0109738575651338,0.5268246897912429
B6_FULL_XTGK,YCYCLE_NET_XG,0.0010389840491742,0.0006667806866537,-0.000267882082254,0.0023458501806025,0.1191835763656312
B6_FULL_XTGK,YNEXTSHOT,0.0005577714865576,0.0003974843800131,-0.0002212835826854,0.0013368265558006,0.1605411547385241
