scope,model,metric,value,n,matches,feature_specification,fold_assignment,m2_value,delta_vs_m2,component
ALL,M3,AUC,0.699109372291051,4802,115,logit_rho+under_pressure+goal_kick+comp_euro+lane_clear_short_options+central_short_exit,same 5 match-grouped folds for every fitted model,0.6484866502992175,0.050622721991833486,both_core_360
ALL,M3,Brier,0.15957939112606076,4802,115,logit_rho+under_pressure+goal_kick+comp_euro+lane_clear_short_options+central_short_exit,same 5 match-grouped folds for every fitted model,0.16606593787919396,-0.006486546753133204,both_core_360
ALL,M3,log_loss,0.48791345632040906,4802,115,logit_rho+under_pressure+goal_kick+comp_euro+lane_clear_short_options+central_short_exit,same 5 match-grouped folds for every fitted model,0.5046393758450688,-0.016725919524659738,both_core_360
ALL,M2L,AUC,0.6965855036478024,4802,115,logit_rho+under_pressure+goal_kick+comp_euro+lane_clear_short_options,same 5 match-grouped folds for every fitted model,0.6484866502992175,0.04809885334858488,clear_short_only
ALL,M2L,Brier,0.16019440172871005,4802,115,logit_rho+under_pressure+goal_kick+comp_euro+lane_clear_short_options,same 5 match-grouped folds for every fitted model,0.16606593787919396,-0.005871536150483914,clear_short_only
ALL,M2L,log_loss,0.49022474907119307,4802,115,logit_rho+under_pressure+goal_kick+comp_euro+lane_clear_short_options,same 5 match-grouped folds for every fitted model,0.5046393758450688,-0.014414626773875727,clear_short_only
ALL,M2E,AUC,0.6898617053500435,4802,115,logit_rho+under_pressure+goal_kick+comp_euro+central_short_exit,same 5 match-grouped folds for every fitted model,0.6484866502992175,0.04137505505082606,central_exit_only
ALL,M2E,Brier,0.16126121247389344,4802,115,logit_rho+under_pressure+goal_kick+comp_euro+central_short_exit,same 5 match-grouped folds for every fitted model,0.16606593787919396,-0.004804725405300525,central_exit_only
ALL,M2E,log_loss,0.4913399583527449,4802,115,logit_rho+under_pressure+goal_kick+comp_euro+central_short_exit,same 5 match-grouped folds for every fitted model,0.5046393758450688,-0.013299417492323884,central_exit_only
WC2022,M3,AUC,0.6919002450252449,2484,64,logit_rho+under_pressure+goal_kick+lane_clear_short_options+central_short_exit,same 5 match-grouped folds for every fitted model,0.6371176121176121,0.054782632907632856,both_core_360
WC2022,M3,Brier,0.1609568361335775,2484,64,logit_rho+under_pressure+goal_kick+lane_clear_short_options+central_short_exit,same 5 match-grouped folds for every fitted model,0.16646221467499128,-0.00550537854141378,both_core_360
WC2022,M3,log_loss,0.4893155847797372,2484,64,logit_rho+under_pressure+goal_kick+lane_clear_short_options+central_short_exit,same 5 match-grouped folds for every fitted model,0.5030422895801884,-0.013726704800451184,both_core_360
WC2022,M2L,AUC,0.6921633687258688,2484,64,logit_rho+under_pressure+goal_kick+lane_clear_short_options,same 5 match-grouped folds for every fitted model,0.6371176121176121,0.055045756608256724,clear_short_only
WC2022,M2L,Brier,0.1610964531249448,2484,64,logit_rho+under_pressure+goal_kick+lane_clear_short_options,same 5 match-grouped folds for every fitted model,0.16646221467499128,-0.005365761550046477,clear_short_only
WC2022,M2L,log_loss,0.4899906061236188,2484,64,logit_rho+under_pressure+goal_kick+lane_clear_short_options,same 5 match-grouped folds for every fitted model,0.5030422895801884,-0.013051683456569596,clear_short_only
WC2022,M2E,AUC,0.6785356957231957,2484,64,logit_rho+under_pressure+goal_kick+central_short_exit,same 5 match-grouped folds for every fitted model,0.6371176121176121,0.04141808360558363,central_exit_only
WC2022,M2E,Brier,0.1628571391368622,2484,64,logit_rho+under_pressure+goal_kick+central_short_exit,same 5 match-grouped folds for every fitted model,0.16646221467499128,-0.003605075538129082,central_exit_only
WC2022,M2E,log_loss,0.4930485548061849,2484,64,logit_rho+under_pressure+goal_kick+central_short_exit,same 5 match-grouped folds for every fitted model,0.5030422895801884,-0.009993734774003449,central_exit_only
EURO2024,M3,AUC,0.6940020377520377,2318,51,logit_rho+under_pressure+goal_kick+lane_clear_short_options+central_short_exit,same 5 match-grouped folds for every fitted model,0.6339285714285714,0.06007346632346633,both_core_360
EURO2024,M3,Brier,0.15918142109987854,2318,51,logit_rho+under_pressure+goal_kick+lane_clear_short_options+central_short_exit,same 5 match-grouped folds for every fitted model,0.16731904398938588,-0.00813762288950734,both_core_360
EURO2024,M3,log_loss,0.48924030463734103,2318,51,logit_rho+under_pressure+goal_kick+lane_clear_short_options+central_short_exit,same 5 match-grouped folds for every fitted model,0.5096122571623123,-0.02037195252497126,both_core_360
EURO2024,M2L,AUC,0.6904161304161304,2318,51,logit_rho+under_pressure+goal_kick+lane_clear_short_options,same 5 match-grouped folds for every fitted model,0.6339285714285714,0.05648755898755897,clear_short_only
EURO2024,M2L,Brier,0.16004927826427673,2318,51,logit_rho+under_pressure+goal_kick+lane_clear_short_options,same 5 match-grouped folds for every fitted model,0.16731904398938588,-0.007269765725109151,clear_short_only
EURO2024,M2L,log_loss,0.49226486933894786,2318,51,logit_rho+under_pressure+goal_kick+lane_clear_short_options,same 5 match-grouped folds for every fitted model,0.5096122571623123,-0.017347387823364424,clear_short_only
EURO2024,M2E,AUC,0.6883188545688546,2318,51,logit_rho+under_pressure+goal_kick+central_short_exit,same 5 match-grouped folds for every fitted model,0.6339285714285714,0.05439028314028316,central_exit_only
EURO2024,M2E,Brier,0.16043175341530705,2318,51,logit_rho+under_pressure+goal_kick+central_short_exit,same 5 match-grouped folds for every fitted model,0.16731904398938588,-0.00688729057407883,central_exit_only
EURO2024,M2E,log_loss,0.4914025606135113,2318,51,logit_rho+under_pressure+goal_kick+central_short_exit,same 5 match-grouped folds for every fitted model,0.5096122571623123,-0.018209696548801002,central_exit_only
