scope,event_id,match_id,evaluation_fold
ALL,001f36d5-65a3-4a1b-8fb5-fc48dbf14a90,3930175,3
ALL,0029898d-2311-4643-bcc4-6bc1b01ee81b,3930181,0
ALL,003f6772-4c10-4dc0-b09d-f7c0bbb56b3a,3857257,2
ALL,0059a940-c623-483e-b99b-e79f90422507,3930181,0
ALL,006eb36a-ca33-4eed-a8c4-56499a04253f,3930171,1
ALL,00745a51-14a0-4756-ba49-a28b6a42d8b2,3940878,4
ALL,0095979b-369c-42dc-85ee-aace2fe66e6c,3857296,1
ALL,00bc9abb-f048-4e27-8300-5b26aff0902a,3857298,1
ALL,00c24d6b-31cf-4ed5-a36f-1c7ef96c57a5,3857260,1
ALL,00dac45e-6aab-45bc-9575-27ca7d2ef2b0,3930163,3
ALL,00e533d9-00a6-4135-9179-544d70704837,3857277,2
ALL,00fab4f6-2e22-457e-8777-fad1f3765bbe,3857292,0
ALL,010b7c14-e6b8-4f55-8f76-d5106d4c596b,3869151,0
ALL,01126bd9-5b8b-429a-a08e-0068e3325f58,3930160,4
ALL,011b9b1d-bdbb-40fa-a569-4e93ca61ab53,3857284,0
ALL,0123f48e-a568-4403-a8dc-c89394b65912,3857297,2
ALL,01294bf3-6ee7-454b-9c6f-862a4d6b42fb,3857260,1
ALL,012fb620-8870-48bd-931b-93ee1c5e93b9,3857288,4
ALL,013f681b-f086-41e4-b561-c24a9b1d6c94,3930170,4
ALL,0150f1c2-0b79-4cc4-99ff-758d0d810736,3857262,4
ALL,015a1d4d-3621-41b9-8a7d-0f0a510e145a,3857276,2
ALL,01927e91-7471-4708-a01f-484b0dd0103b,3857292,0
ALL,0193a1f7-53a4-484a-b387-7e4636c535ea,3869152,3
ALL,01b0c543-366e-4595-b682-ae0988735860,3940878,4
ALL,01b26700-6c70-47c1-85a4-d6ab1572c186,3857260,1
ALL,01c73ecb-2a6d-4efe-87d4-addf36873d01,3857290,2
ALL,01d923ef-25fe-456d-885a-828649409510,3857300,0
ALL,01df2de7-0578-4eee-aec0-9f4d790328bd,3869152,3
ALL,01e95252-8f70-4116-861d-23659956455b,3857263,0
ALL,01f8a6a6-60ef-43fd-9d6f-f6b840b441a8,3857290,2
ALL,02022a1d-5920-4f02-b3ed-3bbf59f071d1,3857271,3
ALL,0218d183-5bf3-42b4-a381-f30d47fe3492,3930164,4
ALL,021fe2fa-472d-450f-b461-fd9f605dd24d,3869684,2
ALL,0228f9d4-cfe5-4f9e-8da1-b3b0744678c4,3930182,3
ALL,0249e108-0b2c-43c9-9ba9-e9c925ce6f06,3857261,4
ALL,0251a2ef-9bab-4b37-bc04-db9b1d36f114,3942349,4
ALL,0261df89-8458-41c0-ac04-aa4dc8c9f15a,3938643,1
ALL,02628600-4f9c-4fa9-90ca-ac3c938e7f49,3857284,0
ALL,026fbff9-374b-4963-a4a8-c638560300db,3942819,4
ALL,02733635-e5af-4bd2-89a1-c86a6f6c1529,3857260,1
ALL,0288dd00-0213-45d7-9fb9-7a42b79cbe22,3869486,1
ALL,02a87358-16a9-441d-a753-e30f74792d1d,3930184,1
ALL,02c57e28-978d-4ea4-a89a-672d042e92c0,3942226,3
ALL,02c9fcd4-dcf4-4db7-b820-60d8fdd21a25,3930169,2
ALL,02db687b-68ff-45e1-9986-984901e88641,3857300,0
ALL,02dd9516-c740-487c-afeb-0489e395f129,3930176,0
ALL,02e95aa0-a2e6-4cba-b919-f2c82cc7bc36,3930177,4
ALL,02ec98fa-1369-421a-975c-269dc2bac21a,3930173,4
ALL,02f68320-2365-4395-b713-277d0aed7ab2,3857301,1
ALL,03005bb5-3fed-4457-9d99-b4fc21fa4ff5,3857260,1
ALL,030babb5-7282-46a8-a128-4212d8b93ddd,3857280,2
ALL,033f42cd-aac6-4ef7-af23-6f372cf4760b,3942227,4
ALL,03696884-d4de-4bb2-85e0-7a59bb319928,3930182,3
ALL,036cd2db-b161-4ba1-a4b7-7f4c9c2baee5,3857276,2
ALL,03720177-92db-4b58-ae3b-4419c0d2d2ef,3857298,1
ALL,0379a9a3-6c49-4c42-8e35-2119715bfdf7,3857282,1
ALL,0388fe51-94ce-4639-9a07-5f68a6a4d1b3,3857268,4
ALL,03990083-b1d3-4969-b101-5cb34126130f,3930173,4
ALL,03a09b32-e1be-4ec4-b832-346f58f9fd66,3857262,4
ALL,03b27318-a8d2-46e6-ad53-44d96b20e233,3857274,3
ALL,03c0ec8e-389a-408e-a011-978ccfe3752b,3941020,3
ALL,03c928ca-ef07-4d2f-a38d-41fe97e8cfbe,3941020,3
ALL,03fbf815-10d8-4d40-b916-18d31db42f4d,3857263,0
ALL,03fcecb1-8c3d-4f01-979c-333b6e9dd6fc,3857280,2
ALL,041f4a7b-8183-4467-be97-2f34a75d4fa9,3869253,2
ALL,0422eaf4-a9f5-4f64-b9a8-a8cb472c8a29,3930183,3
ALL,042b033d-aff5-4f4c-b87d-3cdf2a2e9157,3857279,1
ALL,0436a545-9551-41a7-9467-b2816f80332c,3930166,4
ALL,0441f69b-0f34-4c1e-8bc8-85628db8d276,3930164,4
ALL,0483ab68-3e2c-4103-93dc-c67d91512746,3857297,2
ALL,04aa0283-2dbc-49d1-b200-65cb6130b1db,3930165,3
ALL,04bf3013-4f35-4c68-ad16-b9f61bbf4b26,3930171,1
ALL,04c28c12-cd6d-40a3-b599-845cb26e5fae,3857286,1
ALL,04e064e6-dc2a-42f2-853d-dfc1ffc89353,3857271,3
ALL,04e514c0-b36b-4cd1-ae6b-1aae2f07f1db,3857254,0
ALL,04f550db-1e45-4c1a-9640-5566720a64d1,3941022,2
ALL,04fcd59f-bc18-4ef3-a215-c06f533dd1de,3857289,3
ALL,05028209-7ed8-4afd-a61b-c8d6fb3d3d6e,3857254,0
ALL,051b50c6-a245-4164-bdc3-4934873a8461,3857254,0
ALL,0523f881-a4f4-4874-a022-725b25201907,3857263,0
ALL,052455ef-e07a-49a0-bedc-f041c30b2f3b,3857291,3
ALL,055e3e7b-a926-4d2c-99d7-cef8bebba6d3,3869420,0
ALL,05702b43-98a6-4223-9e52-c3d133b8e25d,3857273,0
ALL,0576f719-69d3-4f8a-a2f3-2646985ef4de,3869685,1
ALL,058aef31-627e-43ea-ab4b-0591233ef33f,3942227,4
ALL,05971621-acf2-4ee6-9cf5-70d9cae8b281,3857298,1
ALL,059b1801-ec40-4361-831d-d2b52ee790b0,3869117,2
ALL,05a68b61-351d-42c2-a158-8a4d3090f21c,3857289,3
ALL,05c5a2a6-42ba-4fcd-b851-8567ad32c921,3857263,0
ALL,05c63761-2457-4451-90a2-673b6c4ef835,3857281,4
ALL,05dc0152-9e30-492a-8472-947ce6aab653,3857261,4
ALL,05fc56a7-dcb7-4d43-9398-38526cf394e1,3930181,0
ALL,0620057e-4177-4856-9e21-67430f89cc5c,3942819,4
ALL,0634393a-cb4f-4ca7-96b1-dabd9819b381,3857261,4
ALL,0638777f-e61e-4704-ade0-db90d5c02d78,3930170,4
ALL,065ba211-16d2-4ee2-bc5f-cc554aa2591a,3942382,0
ALL,06618194-2112-4a48-aaa1-b167d818a1d3,3930161,4
ALL,0665425f-d0e1-4981-b8ed-6feafcdc8199,3930175,3
ALL,066a2e7a-1012-45ab-b949-b9dabe280665,3857292,0
ALL,0670e70a-c1ee-41b3-b264-8cf676019834,3941021,3
ALL,067a478a-1a44-4550-8816-1f69f2028d90,3930177,4
ALL,067de1d3-5689-4750-a11f-d6239180443c,3930164,4
ALL,069711df-c467-45f7-9492-e1a8570966a3,3940878,4
ALL,06b37eaa-0880-445e-af47-84b1841df2cc,3857275,0
ALL,06ba9aa4-dab2-44c6-8382-117b2e6e3d54,3857266,2
ALL,06c019e1-28a4-4ff1-a9ad-8cd405101e3b,3857297,2
ALL,06c9d7be-2c8d-48a4-bd84-b63051e20523,3941021,3
ALL,06cbcd4d-c00a-4d89-99f9-ea8a0a3de0fb,3930182,3
ALL,06d36b0a-0a87-42ba-b9c3-091902702749,3930162,0
ALL,06e5ef01-4170-4e93-9827-d3fa577be78f,3857282,1
ALL,06e9b4d0-7b69-49eb-a3ac-f020cccac180,3857275,0
ALL,06f195d1-1c71-41c6-8a1e-767e9b16013b,3857295,2
ALL,06fb152c-190d-441b-9990-5e8397cb76e1,3943043,1
ALL,0711348d-6422-4a18-98cb-d05ea37db9c5,3857294,2
ALL,0716b204-29b6-4cae-8f58-e797a116acc9,3857272,2
ALL,071f3eab-2124-49a9-a2ef-0d5b8b580c81,3930177,4
ALL,073140d9-782a-4f92-b2d7-ae36e5404642,3869552,4
ALL,07362d3a-da0e-4d7a-94b8-dee738913dbe,3857256,0
ALL,0743aa65-b729-490e-bf60-7c331d5e5556,3938637,4
ALL,074e5037-ab28-466f-966c-d60330a147ee,3938643,1
