table,field,frozen_rows,fresh_rows,matched_keys,missing_frozen_keys,new_fresh_keys,discrepancies,max_abs_difference,status
distribution_option_summary.parquet,__key__,4831,4831,4831,0,0,0,,MATCH
distribution_option_summary.parquet,match_id,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,competition,4831,4831,4831,0,0,0,,MATCH
distribution_option_summary.parquet,goal_kick,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,under_pressure,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,choice_family,4831,4831,4831,0,0,0,,MATCH
distribution_option_summary.parquet,chosen_distance_m,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,receiver_option_count,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,visible_short_options,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,lane_clear_short_options,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,central_short_exit,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,central_build_exit,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,start_x,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,start_y,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,end_x,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,end_y,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,retained,4831,4831,4831,0,0,0,0.0,MATCH
distribution_option_summary.parquet,chosen_receiver_id,4831,4831,4831,0,0,0,0.0,MATCH
option_candidates.parquet,__key__,27777,27777,27777,0,0,0,,MATCH
option_candidates.parquet,match_id,27777,27777,27777,0,0,0,0.0,MATCH
option_candidates.parquet,competition,27777,27777,27777,0,0,0,,MATCH
option_candidates.parquet,candidate_player_id,27777,27777,27777,0,0,0,,MATCH
option_candidates.parquet,candidate_x_m,27777,27777,27777,0,0,0,0.0,MATCH
option_candidates.parquet,candidate_y_m,27777,27777,27777,0,0,0,0.0,MATCH
option_candidates.parquet,distance_m,27777,27777,27777,0,0,0,0.0,MATCH
option_candidates.parquet,side,27777,27777,27777,0,0,0,,MATCH
option_candidates.parquet,distance_family,27777,27777,27777,0,0,0,,MATCH
option_candidates.parquet,receiver_nearest_opponent_m,27777,27777,27777,0,0,0,0.0,MATCH
option_candidates.parquet,opponents_within_3m,27777,27777,27777,0,0,0,0.0,MATCH
option_candidates.parquet,opponents_within_5m,27777,27777,27777,0,0,0,0.0,MATCH
option_candidates.parquet,lane_clear_1m,27777,27777,27777,0,0,0,0.0,MATCH
option_candidates.parquet,lane_clear_1_5m,27777,27777,27777,0,0,0,0.0,MATCH
option_candidates.parquet,lane_clear_2m,27777,27777,27777,0,0,0,0.0,MATCH
option_candidates.parquet,forward_progress_m,27777,27777,27777,0,0,0,0.0,MATCH
option_candidates.parquet,lateral_displacement_m,27777,27777,27777,0,0,0,0.0,MATCH
