scope,variable,n,area_mean_m2,area_fraction_mean,area_fraction_min,area_fraction_max,pearson_r,spearman_r
ALL,receiver_option_count,4802,2365.6019824439204,0.3313168042638544,0.0756273956683028,0.8525380797166792,0.6942923942312877,0.6892351753877826
ALL,lane_clear_short_options,4802,2365.6019824439204,0.3313168042638544,0.0756273956683028,0.8525380797166792,-0.12996472416955132,-0.051166050045495064
ALL,central_short_exit,4802,2365.6019824439204,0.3313168042638544,0.0756273956683028,0.8525380797166792,-0.09873339130526458,-0.06179634433131475
ALL,R1,4802,2365.6019824439204,0.3313168042638544,0.0756273956683028,0.8525380797166792,-0.029582336905316982,-0.0039349089359167495
WC2022,receiver_option_count,2484,2185.0678886150513,0.30603191717297634,0.0756273956683028,0.7774630974328601,0.7147808927822271,0.6834342583754938
WC2022,lane_clear_short_options,2484,2185.0678886150513,0.30603191717297634,0.0756273956683028,0.7774630974328601,-0.10197613716434428,-0.02890826342765803
WC2022,central_short_exit,2484,2185.0678886150513,0.30603191717297634,0.0756273956683028,0.7774630974328601,-0.0762912048534724,-0.039056935193645274
WC2022,R1,2484,2185.0678886150513,0.30603191717297634,0.0756273956683028,0.7774630974328601,0.028168751843005855,0.06103857344840879
EURO2024,receiver_option_count,2318,2559.064747358032,0.35841242960196523,0.09153636330464966,0.8525380797166792,0.6197586163692521,0.6409722608567399
EURO2024,lane_clear_short_options,2318,2559.064747358032,0.35841242960196523,0.09153636330464966,0.8525380797166792,-0.23313114108746935,-0.14916517200184046
EURO2024,central_short_exit,2318,2559.064747358032,0.35841242960196523,0.09153636330464966,0.8525380797166792,-0.15171873296278812,-0.106834362914271
EURO2024,R1,2318,2559.064747358032,0.35841242960196523,0.09153636330464966,0.8525380797166792,-0.09719582362792917,-0.07633378164265837
