cohort,band,n,V,C,C_minus_V,C_over_V,full_burden_ratio
PL1516,0_16_5,20102,0.008466585922166427,0.012220514182847225,0.003753928260680798,1.4433815820439042,2.443381582043904
PL1516,16_5_35,2508,0.010138897372769731,0.01112262387410416,0.0009837265013344276,1.097024998396418,2.0970249983964178
PL1516,35_52_5,213,0.011005029141671755,0.011601140970719697,0.0005961118290479434,1.0541672194933767,2.054167219493377
PL1516,GT52_5,18,0.01904075804640763,0.012026460856555544,-0.007014297189852081,0.6316167049254925,1.6316167049254924
T2024,0_16_5,4507,0.010017234190255084,0.01490041703723118,0.0048831828469761,1.487478155569781,2.487478155569781
T2024,16_5_35,816,0.010668852859005918,0.01453185415725164,0.0038630012982457254,1.3620821609686782,2.3620821609686784
T2024,35_52_5,42,0.012242409684572051,0.01474057872027443,0.0024981690357023766,1.204058604479687,2.204058604479687
T2024,GT52_5,2,0.020405523731516387,0.015007238951002748,-0.0053982847805136396,0.7354498295882514,1.7354498295882517
WC2018,0_16_5,2474,0.006906180279391791,0.01409174912000808,0.007185568840616289,2.0404548607076185,3.040454860707618
WC2018,16_5_35,464,0.009765068141010969,0.013528010304928511,0.003762942163917544,1.3853472509950113,2.3853472509950118
WC2018,35_52_5,16,0.010848498997205042,0.01384812734320838,0.0029996283460033382,1.2765016936238045,2.2765016936238043
WC2018,GT52_5,3,0.012062504520555217,0.013713223569640914,0.0016507190490856985,1.1368471237687643,2.1368471237687636
WC2022,0_16_5,3552,0.00974180867845471,0.014419978052344101,0.004678169373889391,1.4802156897451473,2.4802156897451475
WC2022,16_5_35,579,0.009531322781709591,0.013686132159518787,0.004154809377809198,1.4359110978574965,2.4359110978574967
WC2022,35_52_5,22,0.01199006622832991,0.014287982725071053,0.0022979164967411423,1.1916516934086376,2.191651693408638
WC2022,GT52_5,1,0.021708096397034603,0.015020568911950557,-0.006687527485084046,0.6919339511502453,1.6919339511502451
WSL2021,0_16_5,8531,0.008328673560749345,0.016071561507499266,0.007742887946749921,1.9296663976890556,2.9296663976890556
WSL2021,16_5_35,2033,0.012459203150723772,0.014914896544077133,0.0024556933933533587,1.197098752114874,2.1970987521148735
WSL2021,35_52_5,85,0.01597261634254411,0.01532384653875777,-0.0006487698037863416,0.9593823710610078,1.9593823710610079
WSL2021,GT52_5,6,0.016677183757996778,0.015053169228618983,-0.001624014529377797,0.9026205771343694,1.9026205771343692
