metric,outcome,model,coefficient,SE_cluster,CI95_low,CI95_high,p_value,n_keeper_matches,n_matches,covariance_type,cluster_variable
B2_XR,Y10_NET_XG,MODEL1_COHORT_FE,0.016570821324256423,0.004963690722120573,0.006842166278504487,0.02629947637000836,0.0008426014098246076,1446,722,cluster,match_id
B2_XR,Y10_NET_XG,MODEL2_TEAM_COHORT_FE,0.005499936790828441,0.004358616906391034,-0.0030427953681053735,0.014042668949762256,0.207001441459569,1446,722,cluster,match_id
B2_XR,Y30_NET_XG,MODEL1_COHORT_FE,0.04824392890809464,0.013494238875695234,0.02179570671295171,0.07469215110323757,0.0003500270760118351,1446,722,cluster,match_id
B2_XR,Y30_NET_XG,MODEL2_TEAM_COHORT_FE,0.017487668118023818,0.011471507165134145,-0.00499607277403228,0.039971409010079915,0.12739788261640883,1446,722,cluster,match_id
B2_XR,YCYCLE_NET_XG,MODEL1_COHORT_FE,0.004698727766497055,0.0009552391963594168,0.0028264933450116133,0.006570962187982496,8.703113185373227e-07,1446,722,cluster,match_id
B2_XR,YCYCLE_NET_XG,MODEL2_TEAM_COHORT_FE,0.002812487318074895,0.0009040263936653751,0.0010406281454171313,0.004584346490732659,0.0018641219323999839,1446,722,cluster,match_id
B2_XR,YNEXTSHOT,MODEL1_COHORT_FE,0.00259969382798022,0.0005895165236735736,0.0014442626732887617,0.0037551249826716787,1.0343058966816465e-05,1446,722,cluster,match_id
B2_XR,YNEXTSHOT,MODEL2_TEAM_COHORT_FE,0.0017443649321561472,0.0005642391301596215,0.0006384765583750812,0.002850253305937213,0.00199124609678875,1446,722,cluster,match_id
B3_SUCCESS_ONLY,Y10_NET_XG,MODEL1_COHORT_FE,-0.012809988236775087,0.00367905751519678,-0.0200208084636122,-0.005599168009937976,0.0004979313000243808,1446,722,cluster,match_id
B3_SUCCESS_ONLY,Y10_NET_XG,MODEL2_TEAM_COHORT_FE,-0.011925438546881356,0.003311575578551034,-0.018416007412923777,-0.005434869680838937,0.00031682811688285345,1446,722,cluster,match_id
B3_SUCCESS_ONLY,Y30_NET_XG,MODEL1_COHORT_FE,-0.03431152161060702,0.00992149415617358,-0.05375729282953186,-0.014865750391682187,0.0005435919717873384,1446,722,cluster,match_id
B3_SUCCESS_ONLY,Y30_NET_XG,MODEL2_TEAM_COHORT_FE,-0.03073036912102631,0.008629852627718903,-0.047644569463243705,-0.013816168778808913,0.00036953250851261586,1446,722,cluster,match_id
B3_SUCCESS_ONLY,YCYCLE_NET_XG,MODEL1_COHORT_FE,-0.0006754060922241675,0.0007605406290011115,-0.0021660383338457847,0.00081522614939745,0.37450820792788153,1446,722,cluster,match_id
B3_SUCCESS_ONLY,YCYCLE_NET_XG,MODEL2_TEAM_COHORT_FE,-0.0005795359230245027,0.0007383426292904665,-0.0020266608846844256,0.0008675890386354202,0.4325036305713761,1446,722,cluster,match_id
B3_SUCCESS_ONLY,YNEXTSHOT,MODEL1_COHORT_FE,-0.0006076935831986984,0.00046008450641160144,-0.001509442645610325,0.000294055479212928,0.1865579349654144,1446,722,cluster,match_id
B3_SUCCESS_ONLY,YNEXTSHOT,MODEL2_TEAM_COHORT_FE,-0.00048745394535850794,0.000444340289804278,-0.001358344910254983,0.0003834370195379671,0.2726289497226366,1446,722,cluster,match_id
B4_FIXED_FAILURE,Y10_NET_XG,MODEL1_COHORT_FE,0.003342061106552539,0.0038071522985382044,-0.004119820282241226,0.010803942495346303,0.38003190346834437,1446,722,cluster,match_id
B4_FIXED_FAILURE,Y10_NET_XG,MODEL2_TEAM_COHORT_FE,-0.0027634655574394758,0.003147759670636002,-0.008932961143873703,0.0034060300289947506,0.37998982657859415,1446,722,cluster,match_id
B4_FIXED_FAILURE,Y30_NET_XG,MODEL1_COHORT_FE,0.010990972134177842,0.010389060531656807,-0.009371212341076048,0.031353156609431734,0.290084138861625,1446,722,cluster,match_id
B4_FIXED_FAILURE,Y30_NET_XG,MODEL2_TEAM_COHORT_FE,-0.005357896861365909,0.008332417749292543,-0.02168913555412159,0.01097334183138977,0.5202122438234372,1446,722,cluster,match_id
B4_FIXED_FAILURE,YCYCLE_NET_XG,MODEL1_COHORT_FE,0.0020943701790871495,0.0007240025571848283,0.0006753512422899852,0.003513389115884314,0.003818653458045442,1446,722,cluster,match_id
B4_FIXED_FAILURE,YCYCLE_NET_XG,MODEL2_TEAM_COHORT_FE,0.0010192902841903793,0.0006652310556755066,-0.0002845386263311731,0.0023231191947119317,0.12546446282940157,1446,722,cluster,match_id
B4_FIXED_FAILURE,YNEXTSHOT,MODEL1_COHORT_FE,0.0010356818532014553,0.0004400515819108834,0.00017319660131624628,0.0018981671050866643,0.018595282750837026,1446,722,cluster,match_id
B4_FIXED_FAILURE,YNEXTSHOT,MODEL2_TEAM_COHORT_FE,0.0005624866237385207,0.00039889724699282485,-0.00021933761389959436,0.0013443108613766359,0.15850896142487736,1446,722,cluster,match_id
B5_COARSE_ORIGIN_FAILURE,Y10_NET_XG,MODEL1_COHORT_FE,0.003953111060926095,0.003803210097264741,-0.0035010437553518728,0.011407265877204063,0.2986120840362405,1446,722,cluster,match_id
B5_COARSE_ORIGIN_FAILURE,Y10_NET_XG,MODEL2_TEAM_COHORT_FE,-0.002207742008424601,0.0031444767133275557,-0.008370803116771491,0.003955319099922289,0.4826158290277678,1446,722,cluster,match_id
B5_COARSE_ORIGIN_FAILURE,Y30_NET_XG,MODEL1_COHORT_FE,0.012710043470587995,0.010373653727602435,-0.00762194422360246,0.03304203116477845,0.22049105367850563,1446,722,cluster,match_id
B5_COARSE_ORIGIN_FAILURE,Y30_NET_XG,MODEL2_TEAM_COHORT_FE,-0.0038041258109151386,0.008325684885882817,-0.02012216833387493,0.012513916712044652,0.6477325304139981,1446,722,cluster,match_id
