cohort,outer_fold,training_match_hash,evaluation_match_hash,fit_match_hash,calibration_match_hash,xR_source_file_sha,V_source_file_sha,C_source_file_sha,rho_artifact_sha,surface_artifact_sha,success_artifact_sha,failure_artifact_sha,accepted_family,accepted_calibration
PL1516,0,8da529826ed57afce5eda0820e09057dd2b4a2b4f4bec98f6c7ab14fc91ea005,7299eb4b96e9c7fc7a47fe1c4c328930b5a2fd455fa965703e39a3ae6c45c652,c11d16dba12dab1bd6550f2d358537b0a6922303ba09fc67fe61894ffe1d3d64,24e6567d5a96b558573e896ef5b2502d082664971e92f8a19184e2ffc515ac77,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,9478f2db444f0d14c39a66b1085e7055491317256b664adfe6c0d5264c9252f2,0d975d1aa98002e2f59f2b83d3d1a137c509081313eeb749f0f2af8dd8960f15,c77337dc8a6dadf51bd7d5c78aed38a96a593fb5249dbc43eef1c9a23c2062e6,23a9f728904693275516136f0b06ac8b37f0c9c3ac3df59f8354cc98bdfff32f,logistic,isotonic
PL1516,1,d3d54328a569a9a6d30903a08074b9766b8f60b3bdbceabc55c5d5bf8b47fc66,1d1960867d8b0bb585feacba258521986461a3a2dcfaff2413ebf373af5c2f4b,f36de5488889b09e7b1e3dbe51b35d67c5de8e9ef861a5d3d364bdba3063877d,f1c7d5c6f5191c5a27c30695310569738a7e50373427befcb2c30010a65283cc,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,953e2c247d0ef12d101a19c845bce63d6d02c51f7d744750de5e7ea963b9c4ea,1b72b4d7ad8be4de08776e116064be0e576cb5acdc50d04e6c809eb93157118f,0955c00ccb7a88b6c42311114d3be4c72ca5c074a1a649992476cff3dfdc19fc,1df21420c9cf46d1f955331a5689e6453ddce43efe391025e35076ae36cc78a3,logistic,isotonic
PL1516,2,d33ec771d01e36656e12e0eca47a57676dc25068a15dcf9737c83e28794f7080,2266d6654fac90e9a108319fc4ba4d70f4420231fb3dd4df0872c1747b074f59,b79f988dc66d508b8fb894a2b5f4c44d041d87b3b587257c09a8edbd2d765e37,89d665ff9d405c1ed2f6c0d82c8a610fd6c5eeed3b9b0b35d540e4daa394bc47,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,331d75b0dbb9a0c6b04639cdd7e98e48f516c9b5a30972c96a6d168864a00be0,b9165b06523a92d38d8a2b715f849ae98cfc82cf4c91b8d0adbcc4d3a469e249,7e7b5a6ef1e7cf78b2c5930a7faa5576dc06d44eb81350619ba306b324971a90,1f3b0d4c1718ea1c3d60ab938622283641cbe6c627af2d9b99ed44437a05cf83,logistic,isotonic
PL1516,3,bbaa837cc934f8e8fe395de6548bef3d86d42493626645e5064d40caaed8d1b4,629bd4c369a05795f2cdc97e183cabbfef33915c0d38f6806938963f087b4c0b,c965820ac058683a0483560f52e9d657ea94b548363f0afe97d7ec02b0fe293f,040666139acd44b8632464f4cc216c71b90eeded5f3110a46141181d51eb07a2,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,c2359ce19e235bddf100d124201862b77232ffd57d1d7992fce7e87dc30850be,031a893a1665b15e476fe93b950be05ab4e94a367c2c61e83d3779231d4361a5,e86ceeaba1ff8481d1c11ab983a791c7382d5402e15eb50f0457f7c743d83aaa,827dd22288764790c4f3504df4ba8cc6f28bb97651f5da5ba809b8a4a06a3564,logistic,isotonic
PL1516,4,5b213735fedd8f95d23af36160ec883b9c97bf214295bfc8de8dc46d6b4c555b,145c0ebd8d523920124ca6cc3fb60123d714791bb398fe2a0fef48d15ce1d091,5db6a24ec8c0b94c38f6cebd83cdcecb57c19ae9325ae2d6537908567690e43b,86e5c2f50574c043b316e1d3a533aef061957c6ff755c7ef7927c3c22686c0f6,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,18ad823c522bfc8cadab695291142553ff9a7545ebf9cdabca5b09153096cf07,7c145a9c7de0a625ac1234b05faace7f42e73cb9f4963dc791dfe6e7d6a8138a,e45d21ef1c4c64ffbf5e26637b3d1ccd58581be0aaabe976cbe6df5203c90b24,c29ec4726f9f3e64151bfae5c4a32971bac830d1cf8de84932462910ef24814e,logistic,isotonic
T2024,0,b380aad00c4db9e0f0a2ed1d4346eee8d60d933cf4573bae4ab742b7d042fb56,5a48be8ef35e18ad89a8cd8576aa4ccc71f83cd9674fbfad15c4603c50b578bc,9ccea02b47fc926d1e2fa732565e377708f13489dfc3c10b413461050d35e105,fcb08b38ec728510c7e3e560429e4046638dd79e942048140c8c6d8dadf93dab,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,3c6d14e2bbc77cdfc6ff8b83ad015ded6f7553b6ae7345ea84d4138677fe51c4,65e8affcf732971d25237463c14a251fa71a7184791b86fd694a228c46b0acb8,8bb8c06dde5d5b44e4a139c66b80b3a00f1bdb806cde35c83d08cf9798e69560,6f6d6846d625216c58ca9dcf84cbda755a6f60b874e2f67d6915b00939a1b8b0,logistic,isotonic
T2024,1,b4585727dbbe5e1a646cfbfc3b4d7b6f00028b212db23e2d650259faa6de5cdc,b8d2934a641a6ac0f8159e49e3d7ccc263afe71d46714aee0f56d6bcd98161b5,d1820bf702871065446bda6fa20a2a54716c12f0e2c2ad21ee948603f5760f9d,332a12be06664cf9c54c7cc072b97568e803350cab046127efac201e3887d1ae,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,62062583464a4aaf27f6f5160f4b5e55cf6dded75eb018ead438cad67073bca5,91fcf7eadd1ff4d178fc3341361281bbb9899164af7d0e53976802c709c1f296,80ad34d5455c118a921e55b04e27a0cd9cbda5e7396529a290ce85f10017530b,d8131d5bb1c525545093848754fdb62c66b6883e9e52b9dc884073d8aea07c9e,logistic,isotonic
T2024,2,70c123b2b40c96a34e9b9a23799a4c9e64ee70b3071e07f5290c847597fdd30a,6f2a4d76855313f19caf004895c1ce19243f6a87b5331cc413d780221e3abce2,13e7a2094cef5293b25afcb350a2111b1a6c7f95b53127a2c4d8b02fa89e878f,775920281e69f603d938299c45094c9cf0f81c9f12ba46e2ef5d467600f59ffa,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,d6cbffb2aecc2653e687f73cd9f45820b9a75f772c6a0c6fbb7f24d06cc8c03b,b7c206548c3af21e304090ed63c0b453a113e2bb3c717e586a19d43e832b19b4,1fcd54614c865d6a219ba3300c5a2f75888ac5c26d31ffc40a5ce5297d842c02,69e716c3a672129f49f4465d17b90d9f7cea1c81d3f0374151cdda87e6ef91fa,logistic,isotonic
T2024,3,3be81f3267f54ae3b278074876ad5a3649229deded47238738a77c1f47be9185,ac79c180dabbf7eb033ed2144b5886711caedc4f15789592f95b5475f8b88670,e847ae8eb8c03afc82d441a522e8ad9c08eb6987fa07646c315d3689007b713b,6d810246ed9094a5976c40042818a6fa14701ea38b9b0844087a083999f629ae,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,e0d39abd72f673a69a48d8da0abe9c88499240f9272b680c79ebe87b4d47b4fc,992bb0098aadd1f286041756817dde9398185cba56eb3c996c04c46ce8537d6d,66b70d0f287af00856fd3279b31490d86221502336acb871007ecd7d7d1e4a9c,3d8ff02c1d0cd84b295f23d11a1b954674eb6df177f595b78130c0c92b644c11,logistic,isotonic
T2024,4,c16e2eb63e5ccfa5b5ea670e42f1055d919d32269787d6e55adf9a14bbfde585,3671a5e627a9ff23fa03dc1ce5994b25a876f0b93f76881e1e17548c2bdb84c6,fa846290a9155215b51754997159883da27b507859675b2ed04aa0e61a6657bc,c97e3e476833f00d527fd580544db79b429fcf2cd8fd025433d2f620076d517c,bf46e4ccefb582e7b75f6453afa5718a5ec9196375c8f684584794f4bf1b8e9b,1ff3d19ea4e78edbee638a7cddea5f3d91f7016f89043ff55134f5d1af994ab7,5722b5dc33eb1b022d3d902ed90c068b32380ed41f82457fdd70fecafaad56f4,61522b2ba072f73e5d0e034aea2bc88cabfe13274f038d4a7c8d33a39c14bc0d,cfb2ebb8d33078f065f07b3ab2ec54f1e418191e0b9f84c63a88cd8910eb899b,6adb6701e4f4b589e6efb97927277875fdfa116c531382dc5765dbff43ccc0d6,17769f0a48b5b344d4483996dbfb25df194e00eaa7de4ecfce65fe9f975b74d9,logistic,isotonic
