cohort,outcome,comparison,delta_spearman,spearman_2_5,spearman_97_5,P_delta_spearman_gt0,delta_pearson,pearson_2_5,pearson_97_5,P_delta_pearson_gt0,classification
PL1516,Y10_NET_XG,B6_vs_B2_XR,-0.31235009133053054,-0.6465199292878188,-0.047062779823592076,0.0079,-0.33642063541120926,-0.5827812722005687,-0.13721956479843775,0.0,BASELINE_CLEARLY_BETTER
PL1516,Y10_NET_XG,B6_vs_B3_SUCCESS_ONLY,0.25827511714523055,0.04833269007525368,0.4942042346890305,0.9916,0.2584363279866887,0.09561580769191294,0.4401140838603102,0.9993,FULL_CLEARLY_BETTER
PL1516,Y10_NET_XG,B6_vs_B4_FIXED_FAILURE,0.0004632075488557449,-0.04778919160339434,0.04394283942982025,0.5355,-0.022593286785619525,-0.05100333567642886,0.000523432222751666,0.0288,NO_CLEAR_DIFFERENCE
PL1516,Y10_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,-0.011001024760446848,-0.055791429388369916,0.0,0.0,-0.018822259561258277,-0.036959325983469495,-0.004516885414376438,0.0023,NO_CLEAR_DIFFERENCE
PL1516,Y10_NET_XG,B6_vs_B0,-0.8153871204335416,-1.2328851281036526,-0.34984975665407686,0.0001,-0.8574890535010717,-1.2258205239666975,-0.45619408694299546,0.0,BASELINE_CLEARLY_BETTER
PL1516,Y10_NET_XG,B6_vs_B1,-0.9601067492438022,-1.3437716251333343,-0.5216977897572505,0.0,-0.9773454414318988,-1.3176882265299832,-0.5893227291464841,0.0,BASELINE_CLEARLY_BETTER
PL1516,Y30_NET_XG,B6_vs_B2_XR,-0.3077473255594784,-0.6456964411013164,-0.0374662365486895,0.01,-0.3320216157733018,-0.5887024640206168,-0.12392532804811557,0.0002,BASELINE_CLEARLY_BETTER
PL1516,Y30_NET_XG,B6_vs_B3_SUCCESS_ONLY,0.2544281256585818,0.04197225103250321,0.4957608809585844,0.9909,0.2524270768187178,0.08752871858003546,0.43048119379263194,0.999,FULL_CLEARLY_BETTER
PL1516,Y30_NET_XG,B6_vs_B4_FIXED_FAILURE,0.00046382748257061746,-0.04957625723375645,0.04686480068623069,0.5269,-0.021540015989064493,-0.05112562659558186,0.002850241197417068,0.0469,NO_CLEAR_DIFFERENCE
PL1516,Y30_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,-0.011792912118651784,-0.05902865329384289,0.0,0.0,-0.019395242360468547,-0.03775240296205319,-0.0047205974955050875,0.0017,NO_CLEAR_DIFFERENCE
PL1516,Y30_NET_XG,B6_vs_B0,-0.8090930746860782,-1.2236592184138007,-0.3614207992598706,0.0001,-0.8562062691589263,-1.2223334305234317,-0.46716263589263446,0.0,BASELINE_CLEARLY_BETTER
PL1516,Y30_NET_XG,B6_vs_B1,-0.9307610917733476,-1.3171728025723997,-0.4983184569675175,0.0,-0.9591520589334835,-1.3002156032486707,-0.5757088582416351,0.0,BASELINE_CLEARLY_BETTER
PL1516,YCYCLE_NET_XG,B6_vs_B2_XR,-0.33376875874157796,-0.6711357732734138,-0.07203378201042333,0.0025,-0.33568288322048623,-0.6047797605258609,-0.10852857675936509,0.0007,BASELINE_CLEARLY_BETTER
PL1516,YCYCLE_NET_XG,B6_vs_B3_SUCCESS_ONLY,0.26245200427734044,0.04701036558410376,0.5009075940926586,0.9918,0.26715329983387465,0.08568822114247325,0.4385798450810482,0.9969,FULL_CLEARLY_BETTER
PL1516,YCYCLE_NET_XG,B6_vs_B4_FIXED_FAILURE,-0.014750207189091912,-0.06319065691900973,0.010716677829872734,0.1612,-0.02800063103587529,-0.05927662444748491,-0.0010367851684896382,0.0204,NO_CLEAR_DIFFERENCE
PL1516,YCYCLE_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,-0.014204197808888642,-0.0628906272541545,0.0,0.0,-0.019829918639727356,-0.038808724317025124,-0.003452793893768874,0.0049,NO_CLEAR_DIFFERENCE
PL1516,YCYCLE_NET_XG,B6_vs_B0,-0.846184830605418,-1.2399129658558357,-0.42345642897555863,0.0,-0.8479840359431197,-1.224598393554366,-0.43594987846478006,0.0001,BASELINE_CLEARLY_BETTER
